2024-05-08 17:16:12,070 INFO    MainThread:22252 [wandb_setup.py:_flush():68] Configure stats pid to 22252
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_setup.py:_flush():68] Loading settings from /home2/anirudhkaushik/.config/wandb/settings
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_setup.py:_flush():68] Loading settings from /home2/anirudhkaushik/INLP-Project-Team-40/wandb/settings
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'root_dir': '/ssd_scratch/cvit/anirudhkaushik/wandb/', '_require_service': 'True', 'mode': 'dryrun'}
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': '/home2/anirudhkaushik/INLP-Project-Team-40/main.py'}
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_init.py:_log_setup():476] Logging user logs to ./wandb/offline-run-20240508_171612-1qgsfsw5/logs/debug.log
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_init.py:_log_setup():477] Logging internal logs to ./wandb/offline-run-20240508_171612-1qgsfsw5/logs/debug-internal.log
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_init.py:init():516] calling init triggers
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'processed_dataset_path': '/home2/anirudhkaushik/INLP-Project-Team-40/processed_data', 'checkpoint_path': '/ssd_scratch/cvit/anirudhkaushik/model_hierarchical.ckpt', 'gpus': 1, 'epochs': 10, 'batch_size': 2, 'learning_rate': 1e-06, 'clip_grad_norm': 0.0, 'weight_decay': 0.01, 'dropout_rate': 0.1, 'enable_scheduler': False, 'warmup_steps': 0.01, 'margin': 1.0, 'corpus': 'gcdc', 'sub_corpus': 'Yelp', 'max_seq_len': 512, 'max_fact_count': 50, 'max_fact_seq_len': 50, 'permutation_count': 20, 'with_replacement': 1, 'train_dataset_count': None, 'val_dataset_count': None, 'test_dataset_count': 4000, 'inverse_pra': 0, 'task': 'sentence-ordering', 'enable_kldiv': False, 'label_smoothing': 0.1, 'inference': True, 'online_mode': 0, 'logger_exp_name': 'gcdc-Yelp-hierarchical-sentence-ordering-roberta-base', 'arch': 'hierarchical', 'disable_mtl': 0, 'mtl_base_arch': 'vanilla', 'model_name': 'roberta-base', 'tf2_model_name': 'roberta-base', 'use_pretrained_tf2': 0, 'sentence_pooling': 'none', 'freeze_emb_layer': True, 'exp_count': 0, 'fp16': 0}
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_init.py:init():569] starting backend
2024-05-08 17:16:12,071 INFO    MainThread:22252 [wandb_init.py:init():573] setting up manager
2024-05-08 17:16:12,076 INFO    MainThread:22252 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-08 17:16:12,081 INFO    MainThread:22252 [wandb_init.py:init():580] backend started and connected
2024-05-08 17:16:12,088 INFO    MainThread:22252 [wandb_init.py:init():658] updated telemetry
2024-05-08 17:16:12,100 INFO    MainThread:22252 [wandb_init.py:init():728] starting run threads in backend
2024-05-08 17:16:17,106 INFO    MainThread:22252 [wandb_run.py:_console_start():1980] atexit reg
2024-05-08 17:16:17,106 INFO    MainThread:22252 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2024-05-08 17:16:17,107 INFO    MainThread:22252 [wandb_run.py:_redirect():1903] Wrapping output streams.
2024-05-08 17:16:17,107 INFO    MainThread:22252 [wandb_run.py:_redirect():1925] Redirects installed.
2024-05-08 17:16:17,108 INFO    MainThread:22252 [wandb_init.py:init():765] run started, returning control to user process
2024-05-08 17:16:26,384 WARNING MsgRouterThr:22252 [router.py:message_loop():77] message_loop has been closed
